name,category,diet_type,calories,protein,carbs,fat,sodium,sugar,potassium,phosphorus,ingredients,serving_desc
Idli (3) & Sambar (Low Oil),Breakfast,Veg,180,8,38,1,200,0,105,40,rice urad dal tamarind toor dal,3 Nos
Ragi Idli (3) & Mint Chutney,Breakfast,Veg,280,8,45,2,150,0,180,120,ragi urad dal mint coconut,3 Nos
Kanchipuram Idli (2) & Chutney,Breakfast,Veg,300,7,40,12,350,0,120,50,rice urad dal ginger pepper cashews coconut,2 Nos
Mini Idli (14) in Sambar,Breakfast,Veg,320,10,60,4,400,0,250,90,rice urad dal tamarind toor dal ghee,1 Bowl
Oats Porridge with Almonds,Breakfast,Veg,220,6,35,5,10,0,140,150,oats milk almonds,1 Bowl
Varagu (Kodo Millet) Pongal,Breakfast,Veg,260,8,42,6,220,0,130,110,kodo millet moong dal pepper ginger,1 Cup
Ven Pongal & Gothsu,Breakfast,Veg,350,7,45,15,300,0,120,80,rice moong dal ghee pepper cashews eggplant,1 Cup
Thinai (Foxtail) Upma,Breakfast,Veg,240,7,40,5,200,0,160,140,foxtail millet onion chili ginger,1 Cup
Godhuma (Wheat) Rava Upma,Breakfast,Veg,230,7,40,4,250,0,140,110,wheat rava onion green chili,1 Cup
Semiya (Vermicelli) Upma & Veggies,Breakfast,Veg,280,6,45,8,250,0,110,60,vermicelli carrot beans onion,1 Cup
Rava Dosa (2) & Sagu,Breakfast,Veg,380,6,55,14,350,0,160,70,semolina rice flour potato carrot peas,2 Nos
Plain Dosa (2) & Sambar,Breakfast,Veg,320,6,55,6,300,0,110,50,rice urad dal oil tamarind toor dal,2 Nos
Kal Dosa (2) (No Oil) & Kurma,Breakfast,Veg,280,7,50,4,250,0,220,90,rice urad dal coconut poppy seeds veggies,2 Set
Onion Uthappam & Chutney,Breakfast,Veg,300,6,48,8,300,0,150,60,rice urad dal onion chili coconut,1 No
Adai Dosa (High Protein),Breakfast,Veg,350,14,45,10,220,0,280,160,rice chana dal toor dal urad dal chili,2 Nos
Pesarattu (Green Moong Dosa),Breakfast,Veg,320,14,40,10,200,0,350,180,green moong dal ginger chili rice,2 Nos
Appam (2) with Veg Stew,Breakfast,Veg,300,4,50,8,200,2,250,60,rice coconut milk carrot beans potato,2 Nos
Idiyappam (3) & Coconut Milk,Breakfast,Veg,350,4,60,10,50,15,280,70,rice flour coconut sugar cardamom,3 Nos
Idiyappam (3) & Veg Kurma,Breakfast,Veg,290,5,50,6,200,0,260,80,rice flour coconut veggies spices,3 Nos
Puttu (Red Rice) & Kadala Curry,Breakfast,Veg,350,12,60,5,200,0,380,190,red rice flour coconut black chana,1 Set
Egg White Omelette (3 Eggs),Breakfast,Non-Veg,150,18,2,5,200,0,160,20,egg white onion chili pepper,1 Plate
Scrambled Eggs (Podimas) & Toast,Breakfast,Non-Veg,280,14,25,12,250,0,180,140,egg onion pepper bread butter,1 Plate
Chicken Keema & 2 Wheat Parotta,Breakfast,Non-Veg,550,25,45,25,450,0,320,210,chicken maida onion spices oil,1 Plate
Mutton Paya & Idiyappam (3),Breakfast,Non-Veg,500,28,50,18,500,0,350,230,mutton trotters rice flour coconut,1 Set
Brown Rice & Spinach Kootu,Lunch,Veg,320,8,60,4,150,0,550,180,brown rice spinach moong dal coconut,1 Bowl
Hand-Pounded Rice & Fish Curry,Lunch,Non-Veg,420,25,60,8,300,0,400,220,red rice fish tamarind tomato,1 Bowl
Millet Rice (Samai) & Dal,Lunch,Veg,280,9,55,2,100,0,180,140,little millet toor dal turmeric,1 Bowl
Curd Rice (Pomegranate) & Pickle,Lunch,Veg,280,7,35,8,180,2,210,140,rice curd milk pomegranate mustard,1 Bowl
Sambar Rice with Mixed Veggies,Lunch,Veg,350,9,65,5,300,0,240,100,rice toor dal carrot beans drumstick,1 Bowl
Lemon Rice & Roasted Chana,Lunch,Veg,340,6,60,8,200,0,90,70,rice lemon turmeric peanuts chana dal,1 Bowl
Tomato Rice & Boiled Egg,Lunch,Non-Veg,380,12,55,10,300,0,280,110,rice tomato onion egg spices,1 Bowl
Coconut Rice & Potato Fry,Lunch,Veg,450,5,60,18,250,0,450,130,rice coconut potato oil spices,1 Bowl
Tamarind Rice (Puliyodarai),Lunch,Veg,400,6,70,12,500,0,150,80,rice tamarind peanuts sesame oil,1 Bowl
Vatha Kuzhambu & Rice,Lunch,Veg,400,5,70,10,400,2,180,70,rice tamarind sundakkai turkey berry,1 Bowl
Mor Kuzhambu (Buttermilk Curry) & Rice,Lunch,Veg,350,8,60,8,300,0,220,130,rice curd coconut ash gourd/okra,1 Bowl
Karakuzhambu & Rice (No Coconut),Lunch,Veg,380,6,70,6,400,0,190,80,rice tamarind garlic onion tomato,1 Bowl
Keerai Masiyal & Rice,Lunch,Veg,250,6,45,4,150,0,520,160,spinach rice garlic cumin,1 Bowl
Dal Tadka & 2 Chapati,Lunch,Veg,380,12,55,8,250,0,220,150,wheat toor dal onion tomato ghee,1 Bowl
Paneer Bhurji & 2 Roti,Lunch,Veg,420,18,35,20,250,0,180,350,paneer wheat onion tomato,1 Bowl
Vegetable Pulao & Raita,Lunch,Veg,350,7,55,8,200,2,210,120,basmati rice carrot beans peas curd,1 Plate
Mushroom Biryani (Seeraga Samba),Lunch,Veg,400,10,65,12,400,0,320,150,seeraga samba rice mushroom spices,1 Plate
Chicken Curry (Home Style) & Rice,Lunch,Non-Veg,480,28,50,16,400,0,300,190,chicken onion tomato ginger garlic rice,1 Bowl
Pepper Chicken Masala & 2 Roti,Lunch,Non-Veg,450,30,35,18,450,0,340,210,chicken pepper fennel wheat onion,1 Bowl
Fish Curry (Macher Jhol) & Rice,Lunch,Non-Veg,400,30,40,10,250,0,380,220,fish mustard oil rice turmeric,1 Bowl
Prawn Thokku & Rice,Lunch,Non-Veg,420,25,50,12,350,0,250,220,prawn onion tomato rice spices,1 Bowl
Mutton Biryani (Lean Meat Portion),Lunch,Non-Veg,550,25,60,20,500,0,320,210,mutton basmati rice spices curd,1 Plate
Egg Curry (2 Eggs) & Rice,Lunch,Non-Veg,400,14,50,12,300,0,220,180,egg onion tomato rice coconut,1 Bowl
Karuvadu (Dry Fish) Kuzhambu & Rice,Lunch,Non-Veg,420,32,55,10,800,0,350,250,dry fish tamarind rice eggplant drumstick,1 Bowl
Crab Soup & Rice,Lunch,Non-Veg,350,20,50,5,400,0,290,210,crab pepper garlic rice,1 Bowl
Phulka (2) & Mixed Veg Sabzi,Dinner,Veg,300,8,45,6,200,0,280,90,wheat carrot beans cauliflower,2 Nos
Chapati (2) & Palak Paneer,Dinner,Veg,380,14,40,15,250,0,450,250,wheat spinach paneer cream,2 Nos
Methi Roti (2) & Curd,Dinner,Veg,240,8,35,6,120,0,180,120,wheat fenugreek leaves curd,2 Nos
Broken Wheat (Daliya) Khichdi,Dinner,Veg,250,7,45,4,150,0,180,160,broken wheat moong dal veggies,1 Bowl
Ragi Mudde & Bassaru (Greens),Dinner,Veg,350,10,60,5,200,0,320,240,ragi spinach toor dal,1 Ball
Kothu Parotta (Veg - Low Oil),Dinner,Veg,450,10,65,15,450,0,200,100,maida onion tomato veggies spices,1 Plate
Wheat Dosa (2) & Tomato Chutney,Dinner,Veg,260,6,48,4,250,0,190,80,wheat flour tomato onion chili,2 Nos
Rava Upma & Banana,Dinner,Veg,300,5,60,4,200,12,460,50,semolina onion banana,1 Plate
Idli (3) & Milagai Podi,Dinner,Veg,220,6,40,2,180,0,105,40,rice urad dal chili powder sesame oil,3 Nos
Uthappam (Veg) & Sambar,Dinner,Veg,280,6,45,7,250,0,180,60,rice urad dal carrot onion tomato,1 No
Dosai (1) & Vadacurry,Dinner,Veg,350,10,50,12,400,0,250,110,rice urad dal chana dal fennel onion,1 Set
Grilled Chicken Salad,Dinner,Non-Veg,280,30,10,10,250,0,350,200,chicken lettuce cucumber olive oil,1 Bowl
Egg Bhurji & 1 Chapati,Dinner,Non-Veg,250,12,18,12,200,0,160,130,egg onion tomato wheat,1 Bowl
Chicken Clear Soup & Veggies,Dinner,Non-Veg,180,15,10,5,300,0,220,150,chicken carrot beans celery pepper,1 Bowl
Fish Fry (Air Fried) & Salad,Dinner,Non-Veg,220,25,5,10,200,0,300,200,fish chili powder lemon cucumber,2 Pcs
Chicken Kothu Parotta,Dinner,Non-Veg,550,25,55,22,600,0,350,210,maida chicken egg onion spices,1 Plate
Steamed Fish with Veggies,Dinner,Non-Veg,260,25,5,10,150,0,400,230,fish carrot beans lemon,1 Fillet
Roasted Makhana,Snack,Veg,100,3,20,0,50,0,80,40,makhana ghee pepper,1 Cup
Sundal (Black Chana),Snack,Veg,150,8,22,3,150,0,180,140,black chana coconut mustard,1 Cup
Sundal (White Peas/Pattani),Snack,Veg,140,7,24,2,150,0,160,130,white peas coconut mustard,1 Cup
Boiled Peanuts (Unsalted),Snack,Veg,180,9,8,14,10,0,180,100,peanuts,1 Cup
Sprouted Moong Salad,Snack,Veg,120,8,20,1,10,0,150,110,green moong cucumber lemon,1 Cup
Pori (Puffed Rice) & Roasted Gram,Snack,Veg,110,4,22,1,120,0,60,40,puffed rice roasted gram,1 Cup
Vazhaipoo Vadai (Air Fried),Snack,Veg,150,5,18,6,200,0,140,60,banana flower chana dal onion,2 Nos
Vegetable Soup,Snack,Veg,80,2,12,2,250,0,180,40,carrot beans cabbage corn,1 Cup
Buttermilk (Spiced/Neer Mor),Snack,Veg,40,2,4,1,100,0,60,40,curd water ginger curry leaves,1 Glass
Tender Coconut Water,Snack,Veg,45,0,10,0,20,8,600,30,coconut water,1 Glass
Nannari Sarbath (Low Sugar),Snack,Veg,60,0,15,0,0,15,10,0,nannari root syrup lemon water,1 Glass
Boiled Egg Whites (2),Snack,Non-Veg,34,7,0,0,110,0,108,10,egg white,2 Nos
Chicken Soup (Rasam Style),Snack,Non-Veg,120,12,5,4,300,0,200,150,chicken cumin pepper garlic,1 Cup
Sesame Balls (Ellu Urundai),Snack,Veg,160,5,15,10,5,10,120,180,sesame seeds jaggery,2 Nos
Kadalai Mittai (Peanut Candy),Snack,Veg,180,6,18,10,5,12,160,100,peanuts jaggery,2 Pcs
Cucumber Slices with Hummus,Snack,Veg,120,4,10,6,150,0,140,60,cucumber chickpeas olive oil tahini,1 Plate
Green Tea & 2 Biscuits,Snack,Veg,80,2,14,3,50,2,30,20,green tea digestive biscuits,1 Cup
Kuthiraivali (Barnyard) Pongal,Breakfast,Veg,260,8,45,5,150,0,130,120,barnyard millet moong dal pepper,1 Cup
Samai (Little Millet) Upma,Breakfast,Veg,240,7,40,5,200,0,140,130,little millet onion chili ginger,1 Cup
Varagu (Kodo) Arisi Rice & Dal,Lunch,Veg,280,10,50,4,150,0,160,140,kodo millet toor dal turmeric,1 Bowl
Thinai (Foxtail) Rice & Rasam,Lunch,Veg,300,6,55,3,250,0,180,140,foxtail millet tomato tamarind spices,1 Bowl
Ragi Semiya (Steamed) & Veggies,Breakfast,Veg,250,6,48,4,200,0,200,130,ragi vermicelli carrot beans,1 Cup
Wheat Sevai (Lemon Flavor),Breakfast,Veg,220,5,40,5,250,0,120,80,wheat sevai lemon turmeric,1 Cup
Kovakkai (Ivy Gourd) Poriyal,Lunch,Veg,90,2,10,4,100,0,120,40,ivy gourd onion mustard,1 Cup
Pavakkai (Bitter Gourd) Pitlai,Lunch,Veg,150,6,15,6,200,0,310,80,bitter gourd toor dal coconut,1 Cup
Vazhaithandu (Plantain Stem) Kootu,Lunch,Veg,100,4,12,3,150,0,80,30,plantain stem moong dal coconut,1 Cup
Vazhaipoo (Banana Flower) Usili,Lunch,Veg,180,8,15,8,200,0,150,60,banana flower chana dal chili,1 Cup
Peerkangai (Ridge Gourd) Masiyal,Lunch,Veg,110,3,15,3,150,0,130,40,ridge gourd moong dal onion,1 Cup
Sorakkai (Bottle Gourd) Kootu,Lunch,Veg,120,5,10,4,150,0,140,30,bottle gourd moong dal coconut,1 Cup
Chow Chow (Chayote) Poriyal,Lunch,Veg,80,2,8,4,100,0,125,25,chow chow moong dal mustard,1 Cup
Mullangi (Radish) Sambar & Rice,Lunch,Veg,350,9,60,5,300,0,280,90,radish toor dal rice tamarind,1 Bowl
Vendakkai (Okra) Puli Kuzhambu & Rice,Lunch,Veg,380,6,65,10,400,0,300,100,okra tamarind rice garlic,1 Bowl
Senai Kizhangu (Yam) Roast (Low Oil),Lunch,Veg,220,4,35,8,200,0,600,120,yam chili powder turmeric,1 Cup
Seppankizhangu (Taro) Roast,Lunch,Veg,240,3,40,8,150,0,580,120,taro root chili powder oil,1 Cup
Kathirikkai (Brinjal) Gothsu & Rice,Lunch,Veg,340,5,55,10,300,0,250,90,brinjal tamarind rice lentils,1 Bowl
Paruppu Urundai Kuzhambu (Lentil Balls),Lunch,Veg,380,15,45,12,350,0,300,180,toor dal chana dal tamarind rice,1 Bowl
Kollu (Horsegram) Rasam & Rice,Lunch,Veg,300,10,55,2,250,0,250,180,horsegram tomato tamarind pepper rice,1 Bowl
Karuppu Kavuni (Black Rice) Kanji,Breakfast,Veg,200,6,35,2,50,0,220,200,black rice water buttermilk,1 Bowl
Mapillai Samba Rice & Meen Kuzhambu,Lunch,Non-Veg,450,25,55,10,350,0,450,220,red rice fish tamarind tomato,1 Bowl
Nattu Kozhi (Country Chicken) Soup,Snack,Non-Veg,150,18,5,6,300,0,250,180,country chicken pepper turmeric,1 Bowl
Mutton Bone Soup (Nenju Elumbu),Snack,Non-Veg,180,20,4,10,350,0,280,200,mutton bone spices ginger garlic,1 Bowl
Ayala Meen (Mackerel) Fry (Tawa),Dinner,Non-Veg,220,22,0,12,200,0,380,240,mackerel chili powder turmeric,1 Pc
Sura Puttu (Shark Fish Scramble),Lunch,Non-Veg,250,25,5,10,250,0,320,210,shark fish onion garlic turmeric,1 Cup
Eral (Prawn) Thokku (Less Oil) & Rice,Lunch,Non-Veg,420,20,50,12,400,0,250,220,prawn onion tomato rice spices,1 Bowl
Kaada (Quail) Roast (Air Fried),Dinner,Non-Veg,280,25,2,18,250,0,240,190,quail pepper fennel spices,1 Bird
Pallipalayam Chicken (Dry),Dinner,Non-Veg,300,30,5,15,300,0,310,200,chicken red chili coconut shallots,150g
Egg Drop Soup,Dinner,Non-Veg,120,10,4,5,250,0,150,110,egg stock corn flour pepper,1 Bowl
Murungai Keerai (Drumstick Leaves) Soup,Snack,Veg,60,4,8,1,150,0,350,90,drumstick leaves onion pepper,1 Cup
Manathakkali Keerai (Nightshade) Soup,Snack,Veg,50,3,6,1,100,0,300,80,nightshade leaves onion coconut milk,1 Cup
Vallarai (Brahmi) Keerai Kootu,Lunch,Veg,100,5,10,4,120,0,320,70,brahmi leaves moong dal coconut,1 Cup
Agathi Keerai Poriyal,Lunch,Veg,90,6,8,3,150,0,380,80,agathi leaves coconut mustard,1 Cup
Siru Keerai Masiyal,Lunch,Veg,110,5,12,3,180,0,450,90,amaranth leaves garlic cumin,1 Cup
Ponnanganni Keerai Poriyal,Lunch,Veg,100,4,10,4,150,0,340,70,ponnanganni leaves coconut onion,1 Cup
Mochai (Field Beans) Kuzhambu & Rice,Lunch,Veg,380,14,60,8,300,0,400,180,mochai beans tamarind rice tomato,1 Bowl
Karamani (Cowpea) Sundal,Snack,Veg,160,9,22,4,150,0,280,150,cowpeas coconut mustard,1 Cup
Kondakadalai (Black Chana) Masala & Roti,Dinner,Veg,350,12,45,10,300,0,350,200,black chana tomato onion wheat,1 Bowl
Pattani (Green Peas) Kurma & Dosa,Dinner,Veg,320,10,50,8,300,0,250,130,green peas coconut spices rice,1 Set
Soya Chunks Masala (Dry),Lunch,Veg,180,15,10,8,250,0,450,200,soya chunks onion tomato spices,1 Cup
Paneer Tikka (Grilled),Snack,Veg,200,12,6,14,200,0,120,250,paneer capsicum curd spices,4 Pcs
Baby Corn Pepper Fry,Snack,Veg,140,4,20,5,150,0,180,90,baby corn pepper capsicum,1 Cup
Sweet Potato (Boiled),Snack,Veg,120,2,28,0,20,8,337,47,sweet potato,1 No
Tapioca (Maravalli) Boiled,Snack,Veg,150,1,38,0,10,0,200,40,tapioca,1 Cup
Panivaragu (Proso Millet) Dosa,Dinner,Veg,220,5,40,4,200,0,150,130,proso millet urad dal,2 Nos
Wheat Dosa (Godhuma) & Chutney,Dinner,Veg,240,6,42,6,250,0,190,80,wheat flour tomato onion chili,2 Nos
Mudakathan Keerai Dosa,Dinner,Veg,230,5,40,5,200,0,250,90,mudakathan leaves rice urad dal,2 Nos
Pirandai Thuvaiyal & Rice,Lunch,Veg,280,4,50,6,250,0,180,60,adamant creeper tamarind rice,1 Bowl
Neer Dosa & Veg Saghu,Dinner,Veg,200,3,40,2,200,0,120,50,rice coconut potato carrot,3 Nos